nombre_estado,abreviatura,casos_totales,total_defunciones,x,y
AGUASCALIENTES,AG,32,0,21.879823,-102.296047
BAJA CALIFORNIA,BC,59,3,32.641176,-115.475579
BAJA CALIFORNIA SUR,BCS,381,3,24.142222,-110.310833
CAMPECHE,CAM,1012,3,19.844814,-90.539649
CHIAPAS,CHI,4291,39,16.753972,-93.115192
CHIHUAHUA,CH,27,1,28.636794,-106.076307
CIUDAD DE MÉXICO,CDMX,155,1,19.441647,-99.151884
COAHUILA DE ZARAGOZA,COA,5433,18,25.421665,-100.999721
COLIMA,COL,3314,21,19.242922,-103.728119
DURANGO,DGO,354,0,24.023988,-104.670194
ESTADO DE MÉXICO,EDOMEX,1885,1,19.293488,-99.657317
GUANAJUATO,GUA,1629,4,21.016098,-101.253621
GUERRERO,GUE,8953,47,17.551649,-99.501063
HIDALGO,HIG,1897,0,20.12236,-98.737001
JALISCO,JAL,27578,127,20.676389,-103.342222
MICHOACÁN DE OCAMPO,MICH,13430,28,19.703384,-101.192046
MORELOS,MOR,7496,17,18.921783,-99.234897
NAYARIT,NAY,7615,12,21.507413,-104.893799
NUEVO LEÓN,NL,8408,9,25.664697,-100.310892
OAXACA,OAX,7760,37,17.059993,-96.72545
PUEBLA,PUE,5247,15,19.04399,-98.197495
QUERÉTARO,QUE,693,3,20.593391,-100.389957
QUINTANA ROO,QRO,3039,19,18.493889,-88.297899
SAN LUIS POTOSÍ,SLP,8062,20,22.151655,-100.976958
SINALOA,SIN,7934,53,24.808808,-107.393756
SONORA,SON,740,27,29.0749,-110.958535
TABASCO,TAB,5216,27,17.987838,-92.919416
TAMAULIPAS,TAM,17246,52,23.731053,-99.15125
TLAXCALA,TLA,17,0,19.316553,-98.23764
VERACRUZ,VER,12412,52,19.527085,-96.922645
YUCATÁN,YUC,1734,10,20.967184,-89.624365
ZACATECAS,ZAC,59,0,22.776096,-102.571836
